phase,model,model_slug,question_id,question_title,contest_date,platform,difficulty,samples,correct_samples,questions_with_any_correct_sample,pass_at_1,pass_at_5,generation_duration_seconds
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2791,find-the-losers-of-the-circular-game,2023-05-14T00:00:00,leetcode,easy,1,1,1,1.0,,1.5154932850000478
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2792,neighboring-bitwise-xor,2023-05-14T00:00:00,leetcode,medium,1,1,1,1.0,,0.916106808999757
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2800,minimum-string-length-after-removing-substrings,2023-05-21T00:00:00,leetcode,easy,1,1,1,1.0,,1.042853534000642
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2802,find-the-punishment-number-of-an-integer,2023-05-21T00:00:00,leetcode,medium,1,1,1,1.0,,1.622141357000146
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2808,painting-the-walls,2023-06-18T00:00:00,leetcode,hard,1,0,0,0.0,,1.4105992479999259
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2810,collecting-chocolates,2023-06-11T00:00:00,leetcode,medium,1,0,0,0.0,,2.0805306800002654
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2811,determine-the-minimum-sum-of-a-k-avoiding-array,2023-08-20T00:00:00,leetcode,medium,1,1,1,1.0,,1.0328133110006092
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2812,find-the-maximum-achievable-number,2023-07-09T00:00:00,leetcode,easy,1,1,1,1.0,,0.5319939410001098
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2816,lexicographically-smallest-palindrome,2023-05-21T00:00:00,leetcode,easy,1,1,1,1.0,,1.203685425999538
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2817,minimum-cost-to-make-all-characters-equal,2023-05-28T00:00:00,leetcode,medium,1,0,0,0.0,,1.8732248599999366
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2819,remove-trailing-zeros-from-a-string,2023-05-28T00:00:00,leetcode,easy,1,1,1,1.0,,0.4608950969995931
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2824,check-if-the-number-is-fascinating,2023-06-10T00:00:00,leetcode,easy,1,1,1,1.0,,1.0369648209998559
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2825,minimize-string-length,2023-06-04T00:00:00,leetcode,easy,1,1,1,1.0,,0.4548593429999528
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2827,greatest-common-divisor-traversal,2023-05-27T00:00:00,leetcode,hard,1,0,0,0.0,,3.2076422580003054
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2828,lexicographically-smallest-string-after-substring-operation,2023-06-11T00:00:00,leetcode,medium,1,0,0,0.0,,1.2962874140002896
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2831,number-of-beautiful-pairs,2023-06-25T00:00:00,leetcode,easy,1,1,1,1.0,,1.3092919560003793
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2832,find-the-longest-equal-subarray,2023-08-20T00:00:00,leetcode,medium,1,0,0,0.0,,2.19068629999947
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2833,count-zero-request-servers,2023-06-24T00:00:00,leetcode,medium,1,0,0,0.0,,2.7653992049999943
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2834,relocate-marbles,2023-07-08T00:00:00,leetcode,medium,1,1,1,1.0,,1.6044247569998333
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2837,minimum-operations-to-make-the-integer-zero,2023-06-25T00:00:00,leetcode,medium,1,0,0,0.0,,2.5170448580001903
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2839,maximum-sum-queries,2023-06-11T00:00:00,leetcode,hard,1,1,1,1.0,,2.3315634680002404
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2844,sum-of-squares-of-special-elements,2023-07-16T00:00:00,leetcode,easy,1,1,1,1.0,,0.9780876110007739
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2845,find-the-value-of-the-partition,2023-06-18T00:00:00,leetcode,medium,1,1,1,1.0,,0.9859894689998328
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2847,find-maximum-number-of-string-pairs,2023-06-24T00:00:00,leetcode,easy,1,1,1,1.0,,0.96269640599985
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2848,special-permutations,2023-06-18T00:00:00,leetcode,medium,1,1,1,1.0,,2.115331908000371
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2849,sum-of-imbalance-numbers-of-all-subarrays,2023-07-02T00:00:00,leetcode,hard,1,0,0,0.0,,1.5807400749999942
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2850,construct-the-longest-new-string,2023-06-24T00:00:00,leetcode,medium,1,0,0,0.0,,2.1654567919995316
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2854,decremental-string-concatenation,2023-06-24T00:00:00,leetcode,medium,1,0,0,0.0,,4.857643580000513
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2855,maximum-number-of-jumps-to-reach-the-last-index,2023-07-09T00:00:00,leetcode,medium,1,1,1,1.0,,1.5199055139992197
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2856,count-complete-subarrays-in-an-array,2023-07-30T00:00:00,leetcode,medium,1,1,1,1.0,,1.6285730659992623
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2857,total-distance-traveled,2023-06-18T00:00:00,leetcode,easy,1,0,0,0.0,,1.2596201900005326
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2866,longest-even-odd-subarray-with-threshold,2023-07-02T00:00:00,leetcode,easy,1,1,1,1.0,,1.6267390699995303
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2867,ways-to-split-array-into-good-subarrays,2023-06-25T00:00:00,leetcode,medium,1,0,0,0.0,,1.1087416999998823
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2868,continuous-subarrays,2023-07-02T00:00:00,leetcode,medium,1,0,0,0.0,,1.8981057010005316
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2869,longest-non-decreasing-subarray-from-two-arrays,2023-07-09T00:00:00,leetcode,medium,1,0,0,0.0,,2.624903715000073
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2870,longest-alternating-subarray,2023-07-08T00:00:00,leetcode,easy,1,0,0,0.0,,1.558430860000044
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2872,largest-element-in-an-array-after-merge-operations,2023-07-23T00:00:00,leetcode,medium,1,0,0,0.0,,0.6748699339996165
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2873,prime-pairs-with-target-sum,2023-07-02T00:00:00,leetcode,medium,1,1,1,1.0,,1.887881560999631
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2876,number-of-employees-who-met-the-target,2023-07-30T00:00:00,leetcode,easy,1,1,1,1.0,,0.7955508729992289
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2877,shortest-string-that-contains-three-strings,2023-07-30T00:00:00,leetcode,medium,1,0,0,0.0,,2.6870594530000744
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2878,apply-operations-to-make-all-array-elements-equal-to-zero,2023-07-09T00:00:00,leetcode,medium,1,0,0,0.0,,1.2915317570004845
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2879,minimum-changes-to-make-k-semi-palindromes,2023-10-22T00:00:00,leetcode,hard,1,0,0,0.0,,3.104981455999223
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2881,split-strings-by-separator,2023-07-23T00:00:00,leetcode,easy,1,1,1,1.0,,0.8595155869998052
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2882,ways-to-express-an-integer-as-sum-of-powers,2023-07-22T00:00:00,leetcode,medium,1,1,1,1.0,,2.254558882999845
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2883,partition-string-into-minimum-beautiful-substrings,2023-07-08T00:00:00,leetcode,medium,1,1,1,1.0,,2.5519978069996796
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2884,length-of-the-longest-valid-substring,2023-07-16T00:00:00,leetcode,hard,1,0,0,0.0,,2.0138931739993495
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2886,faulty-keyboard,2023-08-06T00:00:00,leetcode,easy,1,1,1,1.0,,0.7465173959999447
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2887,sort-vowels-in-a-string,2023-07-22T00:00:00,leetcode,medium,1,1,1,1.0,,1.262007244000415
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2888,minimum-index-of-a-valid-split,2023-07-16T00:00:00,leetcode,medium,1,1,1,1.0,,2.200317830000131
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2891,maximum-beauty-of-an-array-after-applying-operation,2023-07-16T00:00:00,leetcode,medium,1,1,1,1.0,,1.1968958030001886
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2892,check-if-array-is-good,2023-07-22T00:00:00,leetcode,easy,1,1,1,1.0,,1.1070747960002336
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2893,visit-array-positions-to-maximize-score,2023-07-22T00:00:00,leetcode,medium,1,0,0,0.0,,2.385532547999901
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2902,max-pair-sum-in-an-array,2023-08-13T00:00:00,leetcode,easy,1,1,1,1.0,,1.731404338000175
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2915,count-of-interesting-subarrays,2023-09-03T00:00:00,leetcode,medium,1,0,0,0.0,,1.2844849860002796
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2916,check-if-it-is-possible-to-split-array,2023-08-06T00:00:00,leetcode,medium,1,0,0,0.0,,1.5031643140000597
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2917,count-pairs-whose-sum-is-less-than-target,2023-08-19T00:00:00,leetcode,easy,1,1,1,1.0,,1.0824794529999053
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2919,maximum-number-of-groups-with-increasing-length,2023-07-23T00:00:00,leetcode,hard,1,0,0,0.0,,1.2172684480001408
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2920,minimum-seconds-to-equalize-a-circular-array,2023-08-05T00:00:00,leetcode,medium,1,0,0,0.0,,1.6827973879999263
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2921,count-stepping-numbers-in-range,2023-07-30T00:00:00,leetcode,hard,1,0,0,0.0,,2.6025599020003938
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2952,minimum-time-to-make-array-sum-at-most-x,2023-08-05T00:00:00,leetcode,hard,1,0,0,0.0,,2.5229769759998817
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2953,count-pairs-of-points-with-distance-k,2023-09-16T00:00:00,leetcode,medium,1,0,0,0.0,,1.3163938010002312
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2954,maximum-sum-of-almost-unique-subarray,2023-09-02T00:00:00,leetcode,medium,1,1,1,1.0,,1.5604223600003024
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2955,account-balance-after-rounded-purchase,2023-08-05T00:00:00,leetcode,easy,1,0,0,0.0,,1.197999580999749
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2977,check-if-a-string-is-an-acronym-of-words,2023-08-20T00:00:00,leetcode,easy,1,1,1,1.0,,1.0362558959996022
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2979,maximize-the-profit-as-the-salesman,2023-08-20T00:00:00,leetcode,medium,1,0,0,0.0,,1.9641793690007034
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2998,count-symmetric-integers,2023-09-03T00:00:00,leetcode,easy,1,1,1,1.0,,1.4479444540002078
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2999,check-if-strings-can-be-made-equal-with-operations-i,2023-09-02T00:00:00,leetcode,easy,1,0,0,0.0,,0.5469011609993686
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3000,minimum-absolute-difference-between-elements-with-constraint,2023-08-13T00:00:00,leetcode,medium,1,0,0,0.0,,1.4221727250005642
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3017,number-of-beautiful-integers-in-the-range,2023-08-19T00:00:00,leetcode,hard,1,0,0,0.0,,1.5596177320003335
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3018,make-string-a-subsequence-using-cyclic-increments,2023-08-19T00:00:00,leetcode,medium,1,0,0,0.0,,1.240431735999664
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3019,furthest-point-from-origin,2023-08-27T00:00:00,leetcode,easy,1,0,0,0.0,,0.8469502090001697
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3024,string-transformation,2023-09-10T00:00:00,leetcode,hard,1,0,0,0.0,,4.231288856000901
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3025,minimum-operations-to-form-subsequence-with-target-sum,2023-08-27T00:00:00,leetcode,hard,1,0,0,0.0,,2.053134067999963
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3026,find-the-minimum-possible-sum-of-a-beautiful-array,2023-08-26T19:30:00,leetcode,medium,1,0,0,0.0,,2.253696934999425
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3031,construct-product-matrix,2023-10-15T00:00:00,leetcode,medium,1,0,0,0.0,,4.477166632000262
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3032,maximize-value-of-function-in-a-ball-passing-game,2023-08-27T00:00:00,leetcode,hard,1,0,0,0.0,,1.1693383390002055
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3033,apply-operations-to-make-two-strings-equal,2023-10-08T00:00:00,leetcode,medium,1,0,0,0.0,,2.5459959660001914
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3034,points-that-intersect-with-cars,2023-09-10T00:00:00,leetcode,easy,1,1,1,1.0,,1.3136898480006494
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3044,minimum-operations-to-collect-elements,2023-09-30T00:00:00,leetcode,easy,1,0,0,0.0,,1.4491671010000573
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3045,minimum-right-shifts-to-sort-the-array,2023-09-16T00:00:00,leetcode,easy,1,0,0,0.0,,1.3513794860000417
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3046,minimum-operations-to-make-a-special-number,2023-09-03T00:00:00,leetcode,medium,1,0,0,0.0,,2.4794963539998207
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3047,maximum-element-sum-of-a-complete-subset-of-indices,2023-09-17T00:00:00,leetcode,hard,1,0,0,0.0,,1.824713865999911
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3055,maximum-odd-binary-number,2023-09-24T00:00:00,leetcode,easy,1,1,1,1.0,,1.4014262099999542
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3080,split-array-into-maximum-number-of-subarrays,2023-09-30T00:00:00,leetcode,medium,1,0,0,0.0,,1.1595668350000778
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3081,minimum-array-length-after-pair-removals,2023-09-16T00:00:00,leetcode,medium,1,0,0,0.0,,1.861165085999346
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3091,count-of-sub-multisets-with-bounded-sum,2023-10-14T00:00:00,leetcode,hard,1,0,0,0.0,,1.6949768759996005
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3093,sum-of-values-at-indices-with-k-set-bits,2023-09-17T00:00:00,leetcode,easy,1,1,1,1.0,,0.964509684999939
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3094,minimum-number-of-operations-to-make-array-empty,2023-09-30T00:00:00,leetcode,medium,1,1,1,1.0,,0.9984732259999873
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3104,happy-students,2023-09-17T00:00:00,leetcode,medium,1,0,0,0.0,,0.8868097070007934
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3106,length-of-the-longest-subsequence-that-sums-to-target,2023-10-28T00:00:00,leetcode,medium,1,1,1,1.0,,2.3018251829998917
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3114,beautiful-towers-i,2023-09-24T00:00:00,leetcode,medium,1,0,0,0.0,,2.953858556000341
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3141,minimum-size-subarray-in-infinite-array,2023-10-01T00:00:00,leetcode,medium,1,0,0,0.0,,1.9991865169995435
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3150,shortest-and-lexicographically-smallest-beautiful-string,2023-10-15T00:00:00,leetcode,medium,1,1,1,1.0,,1.7784402229999614
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3151,minimum-processing-time,2023-10-08T00:00:00,leetcode,medium,1,0,0,0.0,,2.128701397000441
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3153,apply-operations-on-array-to-maximize-sum-of-squares,2023-10-08T00:00:00,leetcode,hard,1,0,0,0.0,,0.8949612149999666
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3154,maximum-value-of-an-ordered-triplet-i,2023-10-01T00:00:00,leetcode,easy,1,1,1,1.0,,1.3824100969995925
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3163,subarrays-distinct-element-sum-of-squares-i,2023-10-28T00:00:00,leetcode,easy,1,1,1,1.0,,1.0735353680001936
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3164,last-visited-integers,2023-10-14T00:00:00,leetcode,easy,1,1,1,1.0,,1.5928316190002079
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3166,minimum-number-of-groups-to-create-a-valid-assignment,2023-10-22T00:00:00,leetcode,medium,1,0,0,0.0,,0.7213002099997539
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3171,minimum-equal-sum-of-two-arrays-after-replacing-zeros,2023-10-29T00:00:00,leetcode,medium,1,0,0,0.0,,2.915642713000125
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3172,divisible-and-non-divisible-sums-difference,2023-10-08T00:00:00,leetcode,easy,1,1,1,1.0,,1.0923695159999625
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3174,minimum-number-of-changes-to-make-binary-string-beautiful,2023-10-28T00:00:00,leetcode,medium,1,0,0,0.0,,0.8208883910001532
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3176,minimum-sum-of-mountain-triplets-i,2023-10-22T00:00:00,leetcode,easy,1,0,0,0.0,,2.148287273000278
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3183,find-the-k-or-of-an-array,2023-10-29T00:00:00,leetcode,easy,1,1,1,1.0,,1.361243254999863
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3184,maximum-balanced-subsequence-sum,2023-11-05T00:00:00,leetcode,hard,1,0,0,0.0,,1.6853452919995107
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3188,find-champion-i,2023-11-05T00:00:00,leetcode,easy,1,0,0,0.0,,1.0366538199996285
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3190,minimum-operations-to-maximize-last-elements-in-arrays,2023-11-12T00:00:00,leetcode,medium,1,0,0,0.0,,1.989556544000152
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3192,maximum-xor-product,2023-11-18T00:00:00,leetcode,medium,1,0,0,0.0,,2.3991011420002906
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3193,maximum-strong-pair-xor-i,2023-11-12T00:00:00,leetcode,easy,1,1,1,1.0,,1.238030479000372
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3194,find-words-containing-character,2023-11-25T00:00:00,leetcode,easy,1,1,1,1.0,,0.663871258000654
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3195,separate-black-and-white-balls,2023-11-18T00:00:00,leetcode,medium,1,1,1,1.0,,0.7919972919999054
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3196,apply-operations-to-maximize-frequency-score,2023-12-16T00:00:00,leetcode,hard,1,0,0,0.0,,1.4681720569997196
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3199,distribute-candies-among-children-i,2023-11-11T00:00:00,leetcode,easy,1,1,1,1.0,,1.6504422490006618
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3200,number-of-strings-which-can-be-rearranged-to-contain-substring,2023-11-11T00:00:00,leetcode,medium,1,0,0,0.0,,1.4288247969998338
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3203,palindrome-rearrangement-queries,2023-12-30T00:00:00,leetcode,hard,1,0,0,0.0,,2.168439785999908
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3206,find-common-elements-between-two-arrays,2023-12-09T00:00:00,leetcode,easy,1,1,1,1.0,,1.197995780000383
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3207,make-three-strings-equal,2023-11-18T00:00:00,leetcode,easy,1,0,0,0.0,,3.058086854999601
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3209,minimum-number-of-coins-for-fruits,2023-11-25T00:00:00,leetcode,medium,1,0,0,0.0,,1.3134737890004544
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3210,count-beautiful-substrings-i,2023-11-25T00:00:00,leetcode,medium,1,1,1,1.0,,1.6366234280003482
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3211,find-maximum-non-decreasing-array-length,2023-11-25T00:00:00,leetcode,hard,1,0,0,0.0,,1.7081839180000316
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3212,count-the-number-of-good-partitions,2023-12-09T00:00:00,leetcode,hard,1,0,0,0.0,,2.096213877000082
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3213,count-subarrays-where-max-element-appears-at-least-k-times,2023-12-09T00:00:00,leetcode,medium,1,0,0,0.0,,1.5066028110004481
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3219,make-lexicographically-smallest-array-by-swapping-elements,2023-11-25T00:00:00,leetcode,medium,1,0,0,0.0,,1.9693891500000973
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3220,count-tested-devices-after-test-operations,2023-12-09T00:00:00,leetcode,easy,1,1,1,1.0,,1.3471576550000464
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3221,find-the-peaks,2023-12-02T00:00:00,leetcode,easy,1,1,1,1.0,,0.9822600509996846
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3223,count-complete-substrings,2023-12-02T00:00:00,leetcode,hard,1,0,0,0.0,,1.9340255090000937
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3224,count-the-number-of-infection-sequences,2023-12-02T00:00:00,leetcode,hard,1,0,0,0.0,,1.826502058999722
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3225,length-of-longest-subarray-with-at-most-k-frequency,2023-12-09T00:00:00,leetcode,medium,1,1,1,1.0,,1.4244527310002013
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3226,minimum-number-game,2023-12-23T00:00:00,leetcode,easy,1,1,1,1.0,,0.843567955999788
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3227,find-missing-and-repeated-values,2023-12-16T00:00:00,leetcode,easy,1,0,0,0.0,,4.395325933000095
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3228,maximum-size-of-a-set-after-removals,2024-01-06T00:00:00,leetcode,medium,1,1,1,1.0,,2.883424175000073
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,3229,minimum-cost-to-make-array-equalindromic,2023-12-16T00:00:00,leetcode,medium,1,0,0,0.0,,1.2529114340004526
